1|2015-01-08 14:32:14.940|599.95|Lodging|1|1
2|2015-01-08 14:32:14.940|66.89|Occupancy Tax|2|1
3|2015-01-08 14:32:14.940|-599.95|Deposit|5|1
4|2015-01-08 14:32:14.940|-66.89|Deposit Lodging Tax|6|1
5|2015-01-08 14:32:14.940|19.95|Unlimited Wi-Fi (Entire Stay)|13|1
6|2015-01-08 14:32:14.940|1.43|Wi-Fi Tax|15|1
7|2015-01-09 14:00:00.000|599.95|Lodging|1|1
8|2015-01-09 14:00:00.000|599.95|Lodging|1|1
9|2015-01-09 14:00:00.000|599.95|Lodging|1|1
10|2015-01-09 14:00:00.000|599.95|Lodging|1|1
11|2015-01-09 14:00:00.000|66.89|Occupancy Tax|2|1
12|2015-01-09 14:00:00.000|66.89|Occupancy Tax|2|1
13|2015-01-09 14:00:00.000|66.89|Occupancy Tax|2|1
14|2015-01-09 14:00:00.000|66.89|Occupancy Tax|2|1
15|2015-01-13 08:24:09.160|-2688.74|Payment|10|1
16|2015-02-10 20:27:41.043|279.00|Lodging|1|2
17|2015-02-10 20:27:41.043|40.46|Occupancy Tax|2|2
18|2015-02-10 20:27:41.043|-279.00|Deposit|5|2
19|2015-02-10 20:27:41.043|-40.46|Deposit Lodging Tax|6|2
20|2015-02-11 14:00:00.000|279.00|Lodging|1|2
21|2015-02-11 14:00:00.000|40.46|Occupancy Tax|2|2
22|2015-02-11 17:49:07.883|69.28|Owner Lodging|1|3
23|2015-02-11 17:49:07.883|5.02|Owner Occupancy Tax|2|3
24|2015-02-12 14:00:00.000|279.00|Lodging|1|2
25|2015-02-12 14:00:00.000|40.46|Occupancy Tax|2|2
26|2015-02-12 14:00:00.000|69.28|Owner Lodging|1|3
27|2015-02-12 14:00:00.000|5.02|Owner Occupancy Tax|2|3
28|2015-02-13 14:00:00.000|279.00|Lodging|1|2
29|2015-02-13 14:00:00.000|40.46|Occupancy Tax|2|2
30|2015-02-13 14:00:00.000|69.28|Owner Lodging|1|3
31|2015-02-13 14:00:00.000|5.02|Owner Occupancy Tax|2|3
32|2015-02-14 09:24:27.467|-958.38|Payment|10|2
33|2015-02-14 14:00:00.000|69.28|Owner Lodging|1|3
34|2015-02-14 14:00:00.000|5.02|Owner Occupancy Tax|2|3
35|2015-02-15 14:00:00.000|69.28|Owner Lodging|1|3
36|2015-02-15 14:00:00.000|5.02|Owner Occupancy Tax|2|3
37|2015-02-15 19:39:57.130|185.56|Lodging|1|4
38|2015-02-15 19:39:57.130|-185.56|Deposit|5|4
39|2015-02-16 10:19:58.847|-371.50|Payment|10|3
40|2015-02-16 14:00:00.000|185.56|Lodging|1|4
41|2015-02-17 14:00:00.000|185.56|Lodging|1|4
42|2015-02-17 19:53:09.663|47.16|Restaurant Charge|3|4
43|2015-02-18 14:00:00.000|185.56|Lodging|1|4
44|2015-02-19 14:00:00.000|185.56|Lodging|1|4
45|2015-02-20 14:00:00.000|185.56|Lodging|1|4
46|2015-02-21 09:37:44.133|-974.96|Payment|10|4
47|2015-03-09 12:13:28.273|25.00|Cancellation Charge|1|5
48|2015-03-09 12:13:28.273|3.63|Cancellation Tax|2|5
49|2015-03-09 12:13:28.273|-349.00|Deposit|5|5
50|2015-03-09 12:13:28.273|-50.61|Deposit Lodging Tax|6|5
51|2015-03-09 12:13:28.273|324.00|Deposit Refund|7|5
52|2015-03-09 12:13:28.273|46.98|Deposit Lodging Tax Refund|8|5
53|2015-03-20 15:25:05.017|129.95|Cancellation Charge|1|6
54|2015-03-20 15:25:05.017|15.92|Cancellation Tax|2|6
55|2015-03-20 15:25:05.017|-129.95|Deposit|5|6
56|2015-03-20 15:25:05.017|-15.92|Deposit Lodging Tax|6|6
57|2015-03-26 18:34:57.310|20.33|Cancellation Charge|1|7
58|2015-03-26 18:34:57.310|-81.33|Deposit|5|7
59|2015-03-26 18:34:57.310|61.00|Deposit Refund|7|7
60|2015-04-03 18:28:48.077|109.95|Lodging|1|8
61|2015-04-03 18:28:48.077|13.47|Occupancy Tax|2|8
62|2015-04-03 18:28:48.077|-109.95|Deposit|5|8
63|2015-04-03 18:28:48.077|-13.47|Deposit Lodging Tax|6|8
64|2015-04-03 19:16:47.767|222.69|Lodging|1|9
65|2015-04-03 19:16:47.767|40.08|Occupancy Tax|2|9
66|2015-04-03 19:16:47.767|-222.69|Deposit|5|9
67|2015-04-03 19:16:47.767|-40.08|Deposit Lodging Tax|6|9
68|2015-04-03 19:16:47.767|4.99|Wi-Fi Daily Fee|13|9
69|2015-04-03 19:16:47.767|0.50|Wi-Fi Tax|15|9
70|2015-04-04 06:12:42.230|6.00|Gym Fee|14|8
71|2015-04-04 06:12:42.230|0.30|Gym Tax|15|8
72|2015-04-04 14:00:00.000|109.95|Lodging|1|8
73|2015-04-04 14:00:00.000|13.47|Occupancy Tax|2|8
74|2015-04-04 14:00:00.000|222.69|Lodging|1|9
75|2015-04-04 14:00:00.000|40.08|Occupancy Tax|2|9
76|2015-04-04 14:00:00.000|4.99|Wi-Fi Daily Fee|13|9
77|2015-04-04 14:00:00.000|0.50|Wi-Fi Tax|15|9
78|2015-04-05 14:00:00.000|109.95|Lodging|1|8
79|2015-04-05 14:00:00.000|13.47|Occupancy Tax|2|8
80|2015-04-05 14:00:00.000|222.69|Lodging|1|9
81|2015-04-05 14:00:00.000|40.08|Occupancy Tax|2|9
82|2015-04-05 14:00:00.000|4.99|Wi-Fi Daily Fee|13|9
83|2015-04-05 14:00:00.000|0.50|Wi-Fi Tax|15|9
84|2015-04-06 11:17:48.423|-542.01|Payment|10|9
85|2015-04-06 14:00:00.000|109.95|Lodging|1|8
86|2015-04-06 14:00:00.000|13.47|Occupancy Tax|2|8
87|2015-04-06 14:01:47.497|109.95|Lodging|1|10
88|2015-04-06 14:01:47.497|13.47|Occupancy Tax|2|10
89|2015-04-06 14:01:47.497|-109.95|Deposit|5|10
90|2015-04-06 14:01:47.497|-13.47|Deposit Lodging Tax|6|10
91|2015-04-06 16:41:44.617|79.95|Spa - Day Fee|14|10
92|2015-04-06 16:41:44.617|4.00|Spa Tax|15|10
93|2015-04-06 20:32:25.867|8.00|Pay Per View Movie|12|8
94|2015-04-06 20:32:25.867|0.40|Pay Per View Movie|15|8
95|2015-04-07 08:03:57.690|-83.95|Payment|10|10
96|2015-04-07 14:00:00.000|109.95|Lodging|1|8
97|2015-04-07 14:00:00.000|13.47|Occupancy Tax|2|8
98|2015-04-08 11:09:28.533|-508.38|Payment|10|8
99|2015-04-08 13:58:14.450|44.98|Cancellation Charge|1|11
