1|2014-11-23 10:22:53|C|2/10/2015|4|279.00|319.46|1210973173|29|17
2|2014-12-28 17:59:53|C|2/15/2015|6|185.56|185.56|6009166473|42|11
3|2015-01-02 14:39:32|C|1/8/2015|5|599.95|666.84|8121927605|49|11
4|2015-01-16 09:28:22|X|4/14/2015|3|89.95|100.97|4543274664|10|1
5|2015-01-27 16:08:29|C|2/11/2015|5|69.28|0.00|Owner Reservation|30|7
6|2015-01-29 16:49:46|C|4/6/2015|1|109.95|123.42|1952277011|11|18
7|2015-02-18 11:42:54|X|3/21/2015|7|129.95|145.87|8838515463|12|26
8|2015-02-19 16:14:38|C|5/14/2015|7|57.71|0.00|Owner Reservation|51|44
9|2015-02-28 19:18:33|C|4/3/2015|3|222.69|262.77|3769471951|34|32
10|2015-03-01 10:31:02|C|5/1/2015|6|88.51|104.44|2724827802|31|6
11|2015-03-03 10:50:42|X|4/10/2015|3|349.00|399.61|6090860482|30|25
12|2015-03-09 18:58:24|C|5/10/2015|2|69.99|73.49|6787230415|45|21
13|2015-03-21 11:29:36|C|4/20/2015|5|100.00|107.00|4919088064|21|40
14|2015-03-25 09:18:42|X|4/10/2015|5|81.33|81.33|2070449249|44|42
15|2015-03-28 19:04:11|A|6/21/2015|4|199.00|221.19|1523093777|4|16
16|2015-03-29 08:02:31|C|4/3/2015|5|109.95|123.42|5497398687|11|34
17|2015-03-29 10:34:24|C|4/28/2015|5|150.00|160.50|2434387526|22|39
18|2015-04-01 07:46:22|C|4/18/2015|5|115.54|132.87|9564103438|25|26
19|2015-04-01 20:59:59|C|4/24/2015|4|149.00|165.61|3703505074|3|12
20|2015-04-02 18:40:19|X|4/18/2015|3|54.33|0.00|Owner Reservation|26|3
21|2015-04-10 16:34:35|A|7/2/2015|7|349.00|396.99|6067896020|30|20
22|2015-04-15 12:18:09|A|6/15/2015|4|324.95|361.18|2469840431|51|23
23|2015-04-30 13:32:47|A|6/16/2015|3|365.66|431.48|3115790452|40|30
24|2015-05-01 18:52:07|A|7/9/2015|2|34.66|0.00|Owner Reservation|25|3
25|2015-05-03 17:40:11|A|8/25/2015|1|209.95|233.57|3734935774|15|5
26|2015-05-04 17:49:33|A|7/25/2015|5|199.55|235.47|7193991258|39|24
27|2015-05-07 19:39:29|A|8/2/2015|1|119.00|132.27|9239878653|2|1
28|2015-05-08 20:55:35|A|10/10/2015|2|69.99|73.49|3380415923|45|28
29|2015-05-09 10:35:36|A|7/7/2015|7|115.54|115.54|5079995190|43|8
30|2015-05-10 13:06:26|A|9/30/2015|3|69.99|73.49|2687595212|45|34
31|2015-05-11 18:37:16|A|10/28/2015|1|69.99|73.49|8418568459|45|43
32|2015-05-12 18:17:07|A|10/19/2015|6|279.00|317.36|2697931586|29|24
33|2015-05-13 18:33:18|A|8/23/2015|6|279.00|317.36|8372197931|29|38
34|2015-05-15 11:17:48|A|11/4/2015|3|44.39|0.00|Owner Reservation|54|7
35|2015-05-15 13:41:57|A|10/1/2015|4|209.95|235.67|1798225110|15|33
36|2015-05-15 18:56:40|A|10/29/2015|8|324.95|361.18|6385157140|57|37
37|2015-05-21 08:55:10|A|10/20/2015|2|274.95|305.61|3165176660|55|27
38|2015-05-22 14:07:59|A|11/10/2015|2|199.00|221.19|6609672307|6|24
39|2015-05-23 11:13:29|A|10/3/2015|7|274.95|305.61|9305462999|55|9
40|2015-05-24 12:07:05|A|9/16/2015|9|279.00|317.36|7888888072|29|45
41|2015-05-26 16:05:09|A|12/10/2015|5|300.00|321.00|4824344055|24|35
42|2015-05-28 07:16:24|A|12/15/2015|4|149.00|165.61|1965734275|5|41
43|2015-05-29 15:19:33|A|12/3/2015|1|304.54|350.22|1267824593|27|22
44|2015-05-30 08:58:40|A|12/13/2015|9|385.65|443.50|1715731089|28|38
45|2015-05-30 16:12:22|A|12/11/2015|7|385.65|443.50|5875771271|28|1
