10000|092|10000|1
10001|116|10000|1
10002|190|10000|1
10003|430|10000|1
10004|520|10000|1
10005|534|10000|2
10006|725|10000|2
10007|781|10000|3
10008|036|10000|3
10009|100|10000|3
10010|136|10000|2
10011|143|10000|4
10012|241|10000|1
10013|243|10000|1
10014|305|10000|4
10015|320|10000|3
10016|328|10000|2
10017|378|10000|3
11000|385|11000|4
11001|450|11000|3
11002|456|11000|2
11003|566|11000|4
11004|646|11000|3
11005|694|11000|2
11006|722|11000|3
11007|848|11000|4
11008|980|11000|4
11009|185|11000|4
11010|207|11000|4
11011|257|11000|3
11012|285|11000|3
11013|466|11000|1
11014|505|11000|1
12000|592|12000|6
12002|690|12000|5
12004|783|12000|5
12006|879|12000|5
12008|009|12000|6
12010|139|12000|6
12012|260|12000|6
12014|262|12000|5
12016|478|12000|5
12018|488|12000|6
12020|542|12000|5
13000|661|13000|6
13001|672|13000|5
13002|862|13000|5
13003|908|13000|5
13004|925|13000|6
13005|926|13000|6
13006|958|13000|6
13007|035|13000|6
13008|047|13000|5
13009|051|13000|6
13010|077|13000|6
14000|084|14000|3
14005|166|14000|3
14010|204|14000|3
14015|206|14000|2
14020|275|14000|2
14025|278|14000|3
14030|330|14000|2
14035|350|14000|3
14040|543|14000|3
14045|662|14000|2
14050|722|14000|2
14055|840|14000|2
14060|861|14000|2
14065|999|14000|3
14070|019|14000|2
14075|157|14000|2
14080|208|14000|2
14085|240|14000|2
14090|263|14000|3
14095|266|14000|3
14100|370|14000|3
14105|433|14000|2
14110|443|14000|2
14115|576|14000|3
14120|589|14000|3
15000|665|15000|1
15015|766|15000|2
15030|780|15000|3
15045|870|15000|4
15060|886|15000|2
15075|970|15000|3
15090|054|15000|7
15105|209|15000|3
15120|228|15000|7
15135|241|15000|7
15150|416|15000|1
15165|568|15000|2
15180|572|15000|3
16000|747|16000|5
16001|771|16000|5
16002|833|16000|6
16003|907|16000|6
16004|991|16000|5
16005|182|16000|5
16006|431|16000|6
17000|470|17000|5
17002|648|17000|5
17004|797|17000|5
17006|888|17000|5
17008|012|17000|5
17010|036|17000|5
17012|041|17000|5
17014|042|17000|5
17016|050|17000|5
17018|062|17000|5
17020|082|17000|5
17022|112|17000|5
18000|123|18000|2
18005|135|18000|1
18010|138|18000|2
18015|139|18000|3
18020|153|18000|2
18025|170|18000|1
18030|201|18000|3
18035|243|18000|1
18040|258|18000|4
18045|261|18000|3
18050|294|18000|1
18055|315|18000|1
18060|315|18000|1
18065|373|18000|2
18070|413|18000|4
18075|423|18000|3
18080|434|18000|3
18085|437|18000|3
18090|445|18000|2
18095|473|18000|2
18100|507|18000|3
18105|514|18000|4
18110|539|18000|2
18115|552|18000|1
18120|565|18000|2
18125|599|18000|2
18130|657|18000|1
18135|692|18000|1
18140|732|18000|1
18145|741|18000|2
18150|753|18000|1
18155|812|18000|1
