1|B|599.95|2015-01-08 14:31:43|2015-01-13 08:23:56|18040|3
2|B|279.00|2015-02-10 20:26:36|2015-02-14 09:24:19|14045|1
3|B|0.00|2015-02-11 17:48:49|2015-02-16 10:18:54|14065|5
4|B|185.56|2015-02-15 19:38:38|2015-02-21 09:36:46|16003|2
5|X|349.00|2015-03-09 12:13:35|2015-03-09 12:13:35|14010|11
6|X|129.95|2015-03-20 15:25:40|2015-03-20 15:25:40|11007|7
7|X|81.33|2015-03-26 18:34:13|2015-03-26 18:34:13|16002|14
8|B|109.95|2015-04-03 18:28:20|2015-04-08 11:09:20|11006|16
9|B|222.69|2015-04-03 19:15:40|2015-04-06 11:17:27|15045|9
10|B|109.95|2015-04-06 14:00:34|2015-04-07 08:02:33|11011|6
11|X|89.95|2015-04-08 13:58:22|2015-04-08 13:58:22|11002|4
12|X|0.00|2015-04-15 13:36:34|2015-04-15 13:36:34|13000|20
13|B|115.54|2015-04-18 17:41:51|2015-04-23 10:25:55|13002|18
14|B|100.00|2015-04-20 19:23:33|2015-04-25 08:40:48|12014|13
15|B|149.00|2015-04-24 15:19:31|2015-04-28 08:20:15|10015|19
16|B|150.00|2015-04-28 14:55:49|2015-05-03 06:19:31|12010|17
17|B|88.51|2015-05-01 18:37:03|2015-05-07 09:17:06|15150|10
18|B|69.99|2015-05-10 19:16:26|2015-05-12 07:28:55|17006|12
19|B|0.00|2015-05-14 14:01:26|2015-05-21 07:26:26|18120|8
